Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.261
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,2.1986004539072080E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.932041E-02,-0.622944E-01
0.122070E-02,0.186408E-01,0.138264
0.183105E-02,0.279612E-01,-0.601203E-01
0.244141E-02,0.372816E-01,-0.263270E-01
0.305176E-02,0.466021E-01,0.353238E-01
0.366211E-02,0.559225E-01,0.606917E-01
0.427246E-02,0.652429E-01,0.180802E-01
0.488281E-02,0.745633E-01,0.197173E-01
0.549316E-02,0.838837E-01,0.450203E-01
0.610352E-02,0.932041E-01,-0.223359
0.671387E-02,0.102525,0.178257
0.732422E-02,0.111845,-0.889894E-01
0.793457E-02,0.121165,-0.318924
0.854492E-02,0.130486,-0.112731
0.915527E-02,0.139806,0.726754E-02
0.976562E-02,0.149127,0.257264E-01
0.103760E-01,0.158447,0.104097
0.109863E-01,0.167767,0.290466
0.115967E-01,0.177088,0.989701E-01
0.122070E-01,0.186408,0.512273E-01
0.128174E-01,0.195729,0.898326E-01
0.134277E-01,0.205049,-0.835771E-01
0.140381E-01,0.214369,0.124457
0.146484E-01,0.223690,0.218925
0.152588E-01,0.233010,-0.364467
0.158691E-01,0.242331,0.292522E-02
0.164795E-01,0.251651,-0.410778E-01
0.170898E-01,0.260972,0.282332
0.177002E-01,0.270292,0.358204E-01
0.183105E-01,0.279612,0.153870E-01
0.189209E-01,0.288933,0.142303E-01
0.195312E-01,0.298253,0.175044E-01
0.201416E-01,0.307574,0.141130
0.207520E-01,0.316894,0.175663
0.213623E-01,0.326214,0.104533
0.219727E-01,0.335535,0.254908
0.225830E-01,0.344855,0.128831E-01
0.231934E-01,0.354176,0.109583
0.238037E-01,0.363496,0.248886
0.244141E-01,0.372816,0.440478
0.250244E-01,0.382137,0.130783
0.256348E-01,0.391457,0.219078
0.262451E-01,0.400778,-0.295409E-01
0.268555E-01,0.410098,0.640230E-01
0.274658E-01,0.419419,0.592233E-02
0.280762E-01,0.428739,-0.285452E-01
0.286865E-01,0.438059,0.635793
0.292969E-01,0.447380,-0.274773E-01
0.299072E-01,0.456700,-0.396659E-01
0.305176E-01,0.466021,0.172580E-01
0.311279E-01,0.475341,-0.144839E-01
0.317383E-01,0.484661,0.391179E-01
0.323486E-01,0.493982,-0.981774E-01
0.329590E-01,0.503302,0.263311
0.335693E-01,0.512623,0.359103
0.341797E-01,0.521943,-0.857345E-01
0.347900E-01,0.531263,0.142196
0.354004E-01,0.540584,0.101966
0.360107E-01,0.549904,-0.531742E-01
0.366211E-01,0.559225,-0.961047E-01
0.372314E-01,0.568545,0.229543
0.378418E-01,0.577865,0.334401E-01
0.384521E-01,0.587186,0.177446
0.390625E-01,0.596506,0.131711
0.396729E-01,0.605827,0.255854
0.402832E-01,0.615147,-0.194803
0.408936E-01,0.624468,0.152512
0.415039E-01,0.633788,0.362315
0.421143E-01,0.643108,-0.288463
0.427246E-01,0.652429,0.264768E-01
0.433350E-01,0.661749,0.828242E-02
0.439453E-01,0.671070,0.207295
0.445557E-01,0.680390,0.259400
0.451660E-01,0.689710,-0.360106
0.457764E-01,0.699031,0.949513
0.463867E-01,0.708351,0.581726
0.469971E-01,0.717672,-0.313259
0.476074E-01,0.726992,0.144264
0.482178E-01,0.736312,0.576392
0.488281E-01,0.745633,-0.107250
0.494385E-01,0.754953,0.102127
0.500488E-01,0.764274,0.208303E-01
0.506592E-01,0.773594,0.713413E-01
0.512695E-01,0.782915,0.162095
0.518799E-01,0.792235,0.356416E-01
0.524902E-01,0.801555,-0.162487E-02
0.531006E-01,0.810876,0.243243
0.537109E-01,0.820196,-0.124727
0.543213E-01,0.829517,0.638975
0.549316E-01,0.838837,0.791473
0.555420E-01,0.848157,-0.264732
0.561523E-01,0.857478,0.575364
0.567627E-01,0.866798,-0.153765E-02
0.573730E-01,0.876119,-0.197930
0.579834E-01,0.885439,-0.226507E-02
0.585938E-01,0.894759,-0.163465
0.592041E-01,0.904080,0.438349
0.598145E-01,0.913400,0.285161
0.604248E-01,0.922721,0.257492
0.610352E-01,0.932041,0.258271
0.616455E-01,0.941362,-0.475354E-02
0.622559E-01,0.950682,0.510611E-01
0.628662E-01,0.960002,0.939854E-01
0.634766E-01,0.969323,0.508794
0.640869E-01,0.978643,0.297971
0.646973E-01,0.987964,0.562897E-01
0.653076E-01,0.997284,0.330666
0.659180E-01,1.00660,0.252016
0.665283E-01,1.01592,0.214935
0.671387E-01,1.02525,0.764599
0.677490E-01,1.03457,-0.715031E-01
0.683594E-01,1.04389,0.476729
0.689697E-01,1.05321,0.686570
0.695801E-01,1.06253,0.695793
0.701904E-01,1.07185,0.288886
0.708008E-01,1.08117,0.188756
0.714111E-01,1.09049,-0.629115E-01
0.720215E-01,1.09981,0.533246E-01
0.726318E-01,1.10913,0.554987
0.732422E-01,1.11845,0.284504
0.738525E-01,1.12777,0.104468E-02
0.744629E-01,1.13709,0.177637
0.750732E-01,1.14641,0.351434
0.756836E-01,1.15573,0.158977
0.762939E-01,1.16505,0.596181
0.769043E-01,1.17437,0.317113
0.775146E-01,1.18369,0.645301
0.781250E-01,1.19301,-0.371387
0.787354E-01,1.20233,0.628380
0.793457E-01,1.21165,-0.394203
0.799561E-01,1.22097,-0.903190E-01
0.805664E-01,1.23029,0.199372
0.811768E-01,1.23961,-0.858887E-01
0.817871E-01,1.24894,0.261096
0.823975E-01,1.25826,0.156675
0.830078E-01,1.26758,0.246839
0.836182E-01,1.27690,0.380683E-01
0.842285E-01,1.28622,0.149090
0.848389E-01,1.29554,0.157869
0.854492E-01,1.30486,0.627470
0.860596E-01,1.31418,0.418405
0.866699E-01,1.32350,0.383003E-01
0.872803E-01,1.33282,0.140951E-01
0.878906E-01,1.34214,1.29899
0.885010E-01,1.35146,0.311087
0.891113E-01,1.36078,0.643705
0.897217E-01,1.37010,0.160427
0.903320E-01,1.37942,-0.351949
0.909424E-01,1.38874,0.766262
0.915527E-01,1.39806,0.223761
0.921631E-01,1.40738,-0.128877
0.927734E-01,1.41670,0.895205E-01
0.933838E-01,1.42602,0.445802E-01
0.939941E-01,1.43534,-0.102052E-01
0.946045E-01,1.44466,0.349419
0.952148E-01,1.45398,0.870100
0.958252E-01,1.46330,-0.178157E-01
0.964355E-01,1.47262,1.03468
0.970459E-01,1.48195,1.71229
0.976562E-01,1.49127,0.670799
0.982666E-01,1.50059,0.125670
0.988770E-01,1.50991,0.420712
0.994873E-01,1.51923,0.644042E-01
0.100098,1.52855,-0.122895
0.100708,1.53787,-0.368268
0.101318,1.54719,-0.191189
0.101929,1.55651,1.47999
