date,time,DOY,LOGGERTEMP,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,TA_1_1_1,TS_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[K],[K]
2022-03-01,00:30,60.0208,27.8000,11.8798,3.34996,0.00000,-0.390591,80.0614,-21.7488,300.572,300.021
2022-03-01,01:00,60.0416,27.7500,11.8787,3.35862,0.00000,-0.358152,79.9164,-60.3509,300.550,300.003
2022-03-01,01:30,60.0624,27.0500,11.8792,3.15239,0.00000,-0.276062,82.9002,-107.765,300.331,299.984
2022-03-01,02:00,60.0833,26.6600,11.8783,3.16279,0.00000,-0.287316,85.0587,-84.4337,300.075,299.962
2022-03-01,02:30,60.1041,26.6800,11.8775,3.30836,0.00000,-0.305853,84.5586,-30.8647,300.150,299.928
2022-03-01,03:00,60.1249,26.8300,11.8790,3.16972,0.00000,-0.296585,85.4502,-66.7437,299.873,299.869
2022-03-01,03:30,60.1458,26.2600,11.8793,3.06227,0.200000E-03,-0.268780,86.8256,-108.269,299.631,299.830
2022-03-01,04:00,60.1666,26.3800,11.8791,3.12986,0.00000,-0.293274,85.9670,-56.6975,299.541,299.791
2022-03-01,04:30,60.1874,26.4067,11.8784,3.30663,0.00000,-0.296585,85.6848,-29.3411,299.395,299.723
2022-03-01,05:00,60.2083,26.1800,11.8773,3.11600,0.00000,-0.268118,85.5133,-117.786,299.262,299.639
2022-03-01,05:30,60.2291,25.5200,11.8797,7.11410,0.400000E-03,-0.213832,91.0181,-65.1003,298.524,299.591
2022-03-01,06:00,60.2499,24.9000,11.8799,11.6183,0.800000E-03,-0.347560,95.3752,-42.3186,297.949,299.601
2022-03-01,06:30,60.2707,24.4400,11.8798,12.5437,0.600000E-03,-0.415086,99.9994,-35.3786,297.221,299.606
2022-03-01,07:00,60.2916,24.0800,11.8796,11.8747,0.00000,-0.446201,100.000,-35.3066,297.035,299.571
2022-03-01,07:30,60.3124,23.9000,11.8792,11.9389,0.200000E-03,0.516375E-01,100.000,-35.0232,297.053,299.515
2022-03-01,08:00,60.3332,23.9000,11.8816,52.0239,0.200000E-03,26.0048,100.000,-14.1103,296.936,299.558
2022-03-01,08:30,60.3541,24.0500,11.8807,177.357,0.00000,94.0496,100.000,47.2380,297.299,299.526
2022-03-01,09:00,60.3749,25.1800,11.8807,274.176,0.00000,141.701,96.1895,91.7738,298.946,299.613
2022-03-01,09:30,60.3957,27.2933,11.8789,304.569,0.00000,156.042,88.9002,217.790,300.121,299.677
2022-03-01,10:00,60.4166,30.0800,11.8797,426.917,0.200000E-03,254.855,90.1983,240.438,300.203,299.774
2022-03-01,10:30,60.4374,31.6433,11.8797,499.031,0.00000,278.926,83.7213,327.051,300.723,299.828
2022-03-01,11:00,60.4582,31.7800,11.8774,419.015,0.00000,200.079,83.7055,182.620,300.779,299.787
2022-03-01,11:30,60.4790,30.2467,11.8797,240.627,0.220000E-02,104.838,91.0648,51.6822,299.687,299.766
2022-03-01,12:00,60.4999,28.0733,11.8786,858.669,0.600000E-03,450.408,96.8324,331.506,299.088,299.771
2022-03-01,12:30,60.5207,28.5867,11.8782,1250.18,0.00000,670.429,88.5504,563.738,300.243,299.817
2022-03-01,13:00,60.5415,30.9633,11.8785,1371.14,0.00000,732.963,80.4015,785.779,301.630,299.911
2022-03-01,13:30,60.5624,33.1900,11.8785,976.604,0.00000,494.249,82.4063,528.272,301.186,300.025
2022-03-01,14:00,60.5832,33.4067,11.8776,620.583,0.00000,306.806,81.0795,321.796,301.356,300.020
2022-03-01,14:30,60.6040,32.6400,11.8773,909.071,0.00000,472.265,82.6409,476.221,301.037,300.123
2022-03-01,15:00,60.6248,32.8700,11.8782,674.926,0.00000,340.633,79.4968,367.211,301.278,300.401
2022-03-01,15:30,60.6457,32.5000,11.8765,526.002,0.00000,260.260,76.8432,280.369,302.076,300.231
2022-03-01,16:00,60.6665,32.3600,11.8765,845.543,0.00000,439.265,79.5581,390.121,301.334,300.548
2022-03-01,16:30,60.6873,31.7500,11.8795,840.762,0.00000,437.352,80.1902,425.814,301.456,300.859
2022-03-01,17:00,60.7082,31.7300,11.8784,844.424,0.00000,447.179,79.9096,421.697,301.957,300.967
2022-03-01,17:30,60.7290,32.1200,11.8777,556.730,0.00000,288.401,77.9766,271.213,302.361,300.982
2022-03-01,18:00,60.7498,32.2100,11.8796,547.718,0.00000,292.215,76.6055,228.714,302.691,300.909
2022-03-01,18:30,60.7707,32.3700,11.8782,232.946,0.00000,114.538,78.9947,61.9719,302.830,300.792
2022-03-01,19:00,60.7915,31.6000,11.8807,75.5516,0.00000,30.7111,86.0327,-9.77549,301.408,300.704
2022-03-01,19:30,60.8123,30.2733,11.8784,42.1855,0.00000,18.7629,87.4822,-21.5215,300.722,300.422
2022-03-01,20:00,60.8331,29.0767,11.8803,5.75887,0.00000,0.153588,89.6304,-43.7409,300.203,300.246
2022-03-01,20:30,60.8540,28.0800,11.8793,4.44177,0.00000,-0.364772,93.6787,-48.9870,299.702,300.133
2022-03-01,21:00,60.8748,27.3400,11.8794,4.36898,0.00000,-0.359476,96.1535,-50.0345,299.410,300.091
2022-03-01,21:30,60.8956,26.7700,11.8784,4.37071,0.00000,-0.401846,98.2298,-49.4168,299.303,300.158
2022-03-01,22:00,60.9165,26.5067,11.8795,4.36378,0.00000,-0.445539,98.9864,-48.3371,299.397,300.183
2022-03-01,22:30,60.9373,26.4000,11.8798,4.35511,0.00000,-0.331009,99.9276,-47.6196,299.331,300.180
2022-03-01,23:00,60.9581,26.4000,11.8794,4.31525,0.00000,-0.340940,98.7298,-40.5462,299.568,300.161
2022-03-01,23:30,60.9790,26.5267,11.8779,4.45736,0.00000,-0.387943,94.7716,-22.9044,300.182,300.141
2022-03-02,00:00,61.0000,26.8200,11.8794,4.59081,0.00000,-0.344912,95.3826,-32.3513,300.257,300.159
2022-03-02,00:30,61.0208,26.9000,11.8787,4.44697,0.00000,-0.349546,97.8051,-46.4124,300.005,300.149
2022-03-02,01:00,61.0416,26.7500,11.8797,4.40191,0.00000,-0.370069,99.7721,-49.6320,299.750,300.127
2022-03-02,01:30,61.0624,26.5933,11.8805,4.51975,0.00000,-0.346236,99.9994,-44.8659,299.427,300.139
2022-03-02,02:00,61.0833,26.4467,11.8790,4.47989,0.00000,-0.356166,99.9080,-34.7974,299.267,300.143
2022-03-02,02:30,61.1041,26.4000,11.8805,4.40191,0.00000,-0.331672,99.7108,-43.6796,299.366,300.124
2022-03-02,03:00,61.1249,26.3800,11.8811,4.40537,0.00000,-0.300557,99.8929,-48.2120,299.309,300.095
2022-03-02,03:30,61.1458,26.2400,11.8812,4.38977,0.00000,-0.225086,100.000,-49.5054,299.278,300.080
2022-03-02,04:00,61.1666,26.1000,11.8816,4.32218,0.00000,-0.307839,100.000,-48.0363,299.080,300.052
2022-03-02,04:30,61.1874,25.9500,11.8794,4.31525,0.00000,-0.303205,100.000,-42.7168,298.906,300.034
2022-03-02,05:00,61.2083,25.8000,11.8793,4.30485,0.00000,-0.337630,100.000,-37.6411,298.962,300.005
2022-03-02,05:30,61.2291,25.8200,11.8789,4.29619,0.00000,-0.307839,100.000,-32.6736,299.046,299.819
2022-03-02,06:00,61.2499,26.0200,11.8801,4.31352,0.00000,-0.331009,100.000,-32.4701,299.146,299.862
2022-03-02,06:30,61.2707,26.1000,11.8793,4.29619,0.00000,-0.320417,99.9963,-33.1297,299.164,299.892
2022-03-02,07:00,61.2916,26.1000,11.8791,4.28926,0.00000,-0.327699,99.9936,-35.9846,299.151,299.785
2022-03-02,07:30,61.3124,26.1000,11.8796,5.12458,0.00000,0.235016,100.000,-43.0736,299.031,298.119
2022-03-02,08:00,61.3332,26.1000,11.8795,28.6921,0.00000,9.52182,99.6887,-35.6366,299.228,297.289
2022-03-02,08:30,61.3541,26.2800,11.8777,146.655,0.00000,73.1081,94.9593,42.7075,299.959,299.643
2022-03-02,09:00,61.3749,28.1700,11.8774,300.936,0.00000,150.093,84.9002,172.287,301.393,300.004
2022-03-02,09:30,61.3957,31.1600,11.8776,185.421,0.00000,76.5499,82.7264,293.542,301.164,300.181
2022-03-02,10:00,61.4166,32.9867,11.8784,462.673,0.00000,375.061,86.0476,413.552,301.043,300.357
2022-03-02,10:30,61.4374,33.8400,11.8785,259.626,0.00000,133.026,87.8567,519.005,300.686,300.316
2022-03-02,11:00,61.4582,34.4700,11.8792,992.019,0.00000,179.318,85.2999,623.422,301.011,300.495
2022-03-02,11:30,61.4790,36.4567,11.8781,1211.84,0.00000,566.918,83.9935,726.642,301.199,300.586
2022-03-02,12:00,61.4999,37.4800,11.8772,1314.45,0.00000,693.018,85.2296,777.939,301.262,300.817
2022-03-02,12:30,61.5207,37.1000,11.8771,1407.50,0.00000,749.474,85.4339,832.804,301.271,300.934
2022-03-02,13:00,61.5415,37.3500,11.8759,1465.01,0.00000,778.275,83.9823,846.648,301.465,301.143
2022-03-02,13:30,61.5624,37.3200,11.8771,1441.68,0.00000,764.405,82.4591,831.470,301.665,301.238
2022-03-02,14:00,61.5832,37.2200,11.8773,1406.71,0.00000,740.867,82.2616,800.488,301.643,301.573
