,ST (K),SST (K),AT (K),SWH (m),SDLR (W/m2),SDSR (W/m2),SNLR (W/m2),SNSR (W/m2),LE (W/m2),H (W/m2)
2022-02-01 00:00:00,301.04947,302.6941,299.5517,0.48246908,-406.7143,-5.788025,55.654858,-5.2191467,73.62984,8.298157
2022-02-01 00:30:00,301.594,302.6941,299.59302,0.48657954,-407.97565,-64.56525,56.45164,-57.605957,82.41673,10.46624
2022-02-01 01:00:00,302.13855,302.6941,299.63434,0.49069,-409.237,-123.34247,57.248425,-109.99277,91.20363,12.634323
2022-02-01 01:30:00,302.5877,302.6941,300.34253,0.4987014,-410.73444,-242.60678,58.60279,-220.25899,113.090324,20.256104
2022-02-01 02:00:00,303.03687,302.6941,301.05075,0.5067128,-412.23184,-361.8711,59.95716,-330.5252,134.97702,27.877884
2022-02-01 02:30:00,303.64133,302.6941,301.43604,0.51912266,-415.7209,-448.06433,58.962418,-412.4846,148.90822,33.635414
2022-02-01 03:00:00,304.2458,302.6941,301.82132,0.5315325,-419.2099,-534.25757,57.967674,-494.44397,162.83942,39.392944
2022-02-01 03:30:00,304.67175,302.6941,302.01056,0.54844546,-419.0636,-634.56335,61.283485,-589.4747,174.08415,46.000206
2022-02-01 04:00:00,305.0977,302.6941,302.1998,0.5653584,-418.9173,-734.86914,64.5993,-684.5054,185.32889,52.607468
2022-02-01 04:30:00,305.52332,302.6941,302.53137,0.57465273,-422.87964,-764.729,63.314213,-713.43726,186.51364,52.91131
2022-02-01 05:00:00,305.94897,302.6941,302.86298,0.58394706,-426.842,-794.58887,62.02913,-742.36914,187.69838,53.21515
2022-02-01 05:30:00,306.12878,302.6941,302.88797,0.5838685,-427.86487,-797.0327,62.59991,-745.00995,190.5823,53.1276
2022-02-01 06:00:00,306.30856,302.6941,302.91296,0.58378994,-428.88776,-799.47656,63.170692,-747.65076,193.46625,53.040054
2022-02-01 06:30:00,306.13586,302.6941,302.88013,0.5849681,-423.9136,-786.2982,69.80231,-735.1654,196.5892,47.09198
