Time in UTC,Local Time in Malaysia,Wind Speed (m/s),Wind Direction,ST (K),SST (K),AT (K),SWH (m),SDLR (W/m2),SDSR (W/m2),SNLR (W/m2),SNSR (W/m2),LE (W/m2),H (W/m2)
1/31/22 16:00,2/1/22 0:00,1.860193491,346.8165894,301.2020874,302.7609863,300.4613953,0.469202042,-422.4846191,-3.05E-05,43.67168045,-3.05E-05,58.63269043,4.614654541
1/31/22 17:00,2/1/22 1:00,1.807525277,9.884414673,300.9660034,302.7609863,300.2523193,0.469700038,-412.2714539,-3.05E-05,53.48342514,-3.05E-05,69.41041565,3.296035767
1/31/22 18:00,2/1/22 2:00,2.093651056,29.17637634,300.9266357,302.7609863,299.764679,0.465135515,-407.710968,-3.05E-05,57.09751892,-3.05E-05,77.25369263,4.471664429
1/31/22 19:00,2/1/22 3:00,1.860641479,46.31257629,300.9186707,302.7609863,299.5519409,0.457541823,-408.585144,-3.05E-05,55.59045029,-3.05E-05,82.24404907,5.702896118
1/31/22 20:00,2/1/22 4:00,3.049902678,35.11016846,300.9026794,302.6941223,299.9412537,0.465342999,-406.5097961,-3.05E-05,56.94537735,-3.05E-05,79.2371521,6.393981934
1/31/22 21:00,2/1/22 5:00,2.992966413,49.60746765,300.8006287,302.6941223,299.5950928,0.475799859,-406.3114319,-3.05E-05,56.64683533,-3.05E-05,71.65652466,6.711715698
1/31/22 22:00,2/1/22 6:00,3.069383383,56.71143341,301.049469,302.6940918,299.5516968,0.482469082,-406.7142944,-5.788024902,55.65485764,-5.219146729,73.62983704,8.298156738
1/31/22 23:00,2/1/22 7:00,3.225734234,64.66181946,302.1385498,302.6940918,299.6343384,0.490689993,-409.2369995,-123.3424683,57.24842453,-109.9927673,91.20362854,12.63432312
2/1/22 0:00,2/1/22 8:00,3.144906759,75.55389404,303.0368652,302.6940918,301.0507507,0.506712794,-412.231842,-361.8710938,59.95716095,-330.5252075,134.9770203,27.87788391
2/1/22 1:00,2/1/22 9:00,2.469265938,81.67185211,304.2457886,302.6940918,301.8213196,0.531532526,-419.2098999,-534.2575684,57.96767426,-494.4439697,162.8394165,39.39294434
2/1/22 2:00,2/1/22 10:00,1.631920457,82.79249573,305.0976868,302.6940918,302.1997986,0.5653584,-418.9172974,-734.8691406,64.59929657,-684.5053711,185.3288879,52.60746765
2/1/22 3:00,2/1/22 11:00,0.398688138,112.1392136,305.9489746,302.6940918,302.8629761,0.583947062,-426.8420105,-794.5888672,62.02912903,-742.3691406,187.6983795,53.21514893
2/1/22 4:00,2/1/22 12:00,1.244769573,238.5048828,306.3085632,302.6940918,302.9129639,0.583789945,-428.8877563,-799.4765625,63.17069244,-747.6507568,193.4662476,53.04005432
2/1/22 5:00,2/1/22 13:00,2.454737663,236.5908966,305.9631348,302.6940918,302.8472595,0.586146235,-418.9394531,-773.119812,76.43392944,-722.6801147,199.7121582,41.14390564
2/1/22 6:00,2/1/22 14:00,3.532382965,233.1379089,304.7671204,302.6940918,302.5518188,0.595519066,-423.6382141,-645.2895508,66.60527802,-603.3116455,198.0701294,35.69535828
2/1/22 7:00,2/1/22 15:00,4.398101807,224.8604279,303.7966309,302.6940918,302.6365356,0.612065554,-423.7955627,-481.6608582,60.57413101,-447.0653687,175.6846008,28.13537598
2/1/22 8:00,2/1/22 16:00,4.25411272,221.8191223,303.1998901,302.6940918,301.8097534,0.627721786,-420.27948,-354.7481079,59.51835251,-324.8997803,162.2678375,25.74584961
2/1/22 9:00,2/1/22 17:00,3.512266159,226.0768738,302.4156494,302.6940918,301.8180237,0.700819373,-412.9817505,-152.6518555,61.95324326,-135.838501,127.0786896,10.45079041
2/1/22 10:00,2/1/22 18:00,2.712558746,226.6874695,301.844696,302.6940918,301.8948669,0.709616303,-414.3390198,-10.99267578,56.12335968,-9.750732422,88.63667297,2.561218262
2/1/22 11:00,2/1/22 19:00,1.60913682,224.0071411,301.5340881,302.6940918,301.7358093,0.716685176,-416.1044312,0.000427246,52.431427,0,73.19335938,2.715713501
2/1/22 12:00,2/1/22 20:00,0.667307317,232.2945557,301.4541626,302.6940918,301.0445557,0.702547431,-418.2632751,0.000427246,49.1585083,0,66.37583923,2.746612549
2/1/22 13:00,2/1/22 21:00,0.377242208,352.2219849,301.4374084,302.6940918,300.6652527,0.679246187,-425.8240662,0.000427246,41.13127899,0,59.05949402,4.858062744
2/1/22 14:00,2/1/22 22:00,0.47934714,59.85821533,301.2434387,302.6940918,300.4082336,0.656206846,-419.4754639,0.000427246,46.45637131,0,58.48789978,6.032226563
2/1/22 15:00,2/1/22 23:00,0.770603895,133.3735046,301.2234802,302.6940918,300.0028992,0.636204481,-420.7073059,0.000427246,44.55596924,0,65.81465149,7.711074829
2/1/22 16:00,2/2/22 0:00,1.259294033,172.0054321,301.1383972,302.6940918,299.7496338,0.621385932,-418.4575195,0.000427246,46.28810883,0,68.38160706,8.298156738
2/1/22 17:00,2/2/22 1:00,2.18040514,173.7382965,301.1158447,302.6940918,299.6132813,0.611122966,-421.5236206,0.000427246,44.70443726,0,57.63571167,5.331848145
2/1/22 18:00,2/2/22 2:00,2.669841766,157.9202728,300.8709717,302.6940918,299.2133179,0.601540685,-418.7156982,0.000427246,46.73681259,0,74.1078949,7.31968689
2/1/22 19:00,2/2/22 3:00,3.094752312,158.923584,300.7788086,302.6940918,299.4893188,0.588450193,-414.7373352,0.000427246,49.62371063,0,83.39883423,8.710144043
