,ST (K),SST (K),AT (K),SWH (m),SDLR (W/m2),SDSR (W/m2),SNLR (W/m2),SNSR (W/m2),LE (W/m2),H (W/m2)
2022-02-01 00:00:00,301.04947,302.6941,299.5517,0.48246908,-406.7143,-5.788025,55.654858,-5.2191467,73.62984,8.298157
2022-02-01 01:00:00,302.13855,302.6941,299.63434,0.49069,-409.237,-123.34247,57.248425,-109.99277,91.20363,12.634323
2022-02-01 02:00:00,303.03687,302.6941,301.05075,0.5067128,-412.23184,-361.8711,59.95716,-330.5252,134.97702,27.877884
2022-02-01 03:00:00,304.2458,302.6941,301.82132,0.5315325,-419.2099,-534.25757,57.967674,-494.44397,162.83942,39.392944
2022-02-01 04:00:00,305.0977,302.6941,302.1998,0.5653584,-418.9173,-734.86914,64.5993,-684.5054,185.32889,52.607468
2022-02-01 05:00:00,305.94897,302.6941,302.86298,0.58394706,-426.842,-794.58887,62.02913,-742.36914,187.69838,53.21515
2022-02-01 06:00:00,306.30856,302.6941,302.91296,0.58378994,-428.88776,-799.47656,63.170692,-747.65076,193.46625,53.040054
2022-02-01 07:00:00,305.96313,302.6941,302.84726,0.58614624,-418.93945,-773.1198,76.43393,-722.6801,199.71216,41.143906
2022-02-01 08:00:00,304.76712,302.6941,302.55182,0.59551907,-423.6382,-645.28955,66.60528,-603.31165,198.07013,35.69536
2022-02-01 09:00:00,303.79663,302.6941,302.63654,0.61206555,-423.79556,-481.66086,60.57413,-447.06537,175.6846,28.135376
2022-02-01 10:00:00,303.1999,302.6941,301.80975,0.6277218,-420.27948,-354.7481,59.518353,-324.89978,162.26784,25.74585
2022-02-01 11:00:00,302.41565,302.6941,301.81802,0.7008194,-412.98175,-152.65186,61.953243,-135.8385,127.07869,10.45079
2022-02-01 12:00:00,301.8447,302.6941,301.89487,0.7096163,-414.33902,-10.992676,56.12336,-9.750732,88.63667,2.5612183
2022-02-01 13:00:00,301.5341,302.6941,301.7358,0.7166852,-416.10443,0.0004272461,52.431427,-0.0,73.19336,2.7157135
2022-02-01 14:00:00,301.45416,302.6941,301.04456,0.70254743,-418.26328,0.0004272461,49.15851,-0.0,66.37584,2.7466125
2022-02-01 15:00:00,301.4374,302.6941,300.66525,0.6792462,-425.82407,0.0004272461,41.13128,-0.0,59.059494,4.8580627
2022-02-01 16:00:00,301.24344,302.6941,300.40823,0.65620685,-419.47546,0.0004272461,46.45637,-0.0,58.4879,6.0322266
2022-02-01 17:00:00,301.22348,302.6941,300.0029,0.6362045,-420.7073,0.0004272461,44.55597,-0.0,65.81465,7.711075
2022-02-01 18:00:00,301.1384,302.6941,299.74963,0.62138593,-418.45752,0.0004272461,46.28811,-0.0,68.38161,8.298157
2022-02-01 19:00:00,301.11584,302.6941,299.61328,0.61112297,-421.52362,0.0004272461,44.704437,-0.0,57.63571,5.331848
2022-02-01 20:00:00,300.87097,302.6941,299.21332,0.6015407,-418.7157,0.0004272461,46.736813,-0.0,74.107895,7.319687
2022-02-01 21:00:00,300.7788,302.6941,299.48932,0.5884502,-414.73734,0.0004272461,49.62371,-0.0,83.398834,8.710144
2022-02-01 22:00:00,300.80652,302.75226,299.0815,0.5699663,-423.3407,0.0004272461,40.732063,-0.0,89.04198,10.213898
2022-02-01 23:00:00,300.7395,302.75226,299.02615,0.5562998,-418.1723,0.0004272461,44.36131,-0.0,89.88377,12.212036
2022-02-02 00:00:00,300.97214,302.75226,298.95673,0.54436123,-420.8155,-5.3042603,41.9924,-4.812866,90.86067,13.036026
2022-02-02 01:00:00,301.65073,302.75226,298.66956,0.53477895,-416.99207,-125.96146,48.317184,-112.43045,110.3363,18.330063
2022-02-02 02:00:00,302.4646,302.75226,300.13718,0.5270817,-417.3314,-322.18582,52.675575,-293.78802,139.91347,30.24681
2022-02-02 03:00:00,303.4815,302.75226,301.3123,0.5211648,-425.45526,-489.40106,50.385853,-451.34692,162.09116,40.598007
2022-02-02 04:00:00,304.1491,302.75226,301.9403,0.5160856,-427.43213,-645.52313,54.21306,-601.8428,174.45828,48.18889
2022-02-02 05:00:00,304.8,302.75226,302.99353,0.5121585,-422.25143,-834.8747,66.58548,-781.2158,185.38084,58.931473
2022-02-02 06:00:00,304.89664,302.75226,303.5063,0.5099069,-428.99594,-904.83685,65.77385,-848.22095,190.98242,63.638443
2022-02-02 07:00:00,304.76712,302.75226,303.46744,0.50849307,-429.19754,-865.65204,64.25287,-809.6555,204.56548,65.96617
2022-02-02 08:00:00,304.21548,302.75226,302.95303,0.5095403,-434.6856,-637.8496,55.84292,-594.4047,182.9386,52.432373
2022-02-02 09:00:00,303.83014,302.75226,302.6299,0.51472425,-434.15695,-467.43155,51.243675,-434.47064,149.28755,32.275864
2022-02-02 10:00:00,302.15787,302.75226,300.34586,0.52791953,-429.10165,-285.58664,47.00406,-262.00436,134.45738,14.807571
2022-02-02 11:00:00,301.67648,302.75226,299.74054,0.5458797,-427.292,-95.96814,42.074883,-86.85037,107.083435,8.535049
2022-02-02 12:00:00,301.18286,302.75226,299.8054,0.5602269,-434.1004,-6.371887,32.523376,-5.781708,85.45656,9.575317
2022-02-02 13:00:00,301.0759,302.75226,299.45792,0.5739982,-422.71863,0.0004272461,42.457603,-0.0,77.67253,9.81221
2022-02-02 14:00:00,300.9992,302.75226,299.48477,0.5782919,-423.00385,0.0004272461,41.942913,-0.0,70.68875,10.522888
2022-02-02 15:00:00,300.87354,302.75226,299.65997,0.5773494,-422.53174,0.0004272461,42.34543,-0.0,62.728058,8.926437
2022-02-02 16:00:00,300.84134,302.75226,299.68228,0.5811719,-417.9854,0.0004272461,46.22872,-0.0,62.86316,8.50415
2022-02-02 17:00:00,300.84906,302.75226,299.59344,0.58965456,-415.7258,0.0004272461,48.19841,-0.0,66.68762,9.678314
2022-02-02 18:00:00,300.80203,302.75226,299.54965,0.6000745,-417.4617,0.0004272461,46.340897,-0.0,66.594086,10.255096
2022-02-02 19:00:00,300.77432,302.75226,299.57733,0.6100757,-418.1231,0.0004272461,46.162735,-0.0,68.97398,8.174561
2022-02-02 20:00:00,300.8181,302.75226,299.4509,0.61594033,-416.14133,0.0004272461,47.848682,-0.0,64.04791,7.9891663
2022-02-02 21:00:00,300.75046,302.75226,299.77936,0.622538,-413.385,0.0004272461,49.81507,-0.0,61.25232,7.4020844
2022-02-02 22:00:00,300.61322,302.53323,299.7083,0.63170135,-417.70758,0.0004272461,45.55236,-0.0,59.121857,7.0106964
2022-02-02 23:00:00,300.65057,302.53323,299.6637,0.6501852,-417.0265,0.0004272461,46.050556,-0.0,58.706146,6.8459015
2022-02-03 00:00:00,300.90256,302.53323,299.85788,0.67390525,-414.12018,-5.7546387,48.33698,-5.1566467,57.147263,6.5575104
2022-02-03 01:00:00,301.7203,302.53323,299.99506,0.7015525,-416.0897,-127.16254,50.247284,-113.46179,77.18408,7.7831726
2022-02-03 02:00:00,302.66696,302.53323,300.99042,0.72223556,-419.78772,-311.40958,51.75507,-284.00604,103.21741,13.8909
2022-02-03 03:00:00,303.76825,302.53323,301.67258,0.7331269,-421.99817,-503.31342,55.668053,-465.37927,131.2461,24.818878
2022-02-03 04:00:00,304.89404,302.53323,301.81802,0.7357974,-423.92834,-687.9942,60.524643,-640.8145,170.63382,42.25627
2022-02-03 05:00:00,305.30197,302.53323,302.60843,0.7344359,-425.9126,-807.46704,64.140686,-752.86993,200.68906,57.005432
2022-02-03 06:00:00,305.8014,302.53323,302.78983,0.7305088,-431.14,-780.2762,61.2076,-727.4305,195.3369,53.431442
2022-02-03 07:00:00,304.5912,302.53323,302.89725,0.7228116,-435.89285,-778.6247,57.677334,-729.0556,205.82297,54.48201
2022-02-03 08:00:00,304.5757,302.53323,302.7919,0.7186749,-432.67676,-592.6929,55.06098,-552.30774,170.93521,38.960358
2022-02-03 09:00:00,303.8643,302.53323,302.92245,0.72359693,-428.73038,-515.5576,56.10686,-478.25525,152.59238,32.68785
2022-02-03 10:00:00,302.34732,302.53323,301.86966,0.7263721,-432.95706,-211.90451,45.426987,-195.96808,97.1066,11.243866
2022-02-03 11:00:00,302.1031,302.53323,300.41278,0.7241206,-437.36813,-80.40433,34.588745,-73.255585,79.86537,4.5078735
2022-02-03 12:00:00,301.51282,302.53323,299.72235,0.7175753,-430.781,-5.0039673,34.862587,-4.594116,77.73489,8.905838
2022-02-03 13:00:00,301.28534,302.53323,299.8529,0.7136482,-423.2915,0.0004272461,41.358932,-0.0,72.64255,10.728882
2022-02-03 14:00:00,301.09073,302.53323,299.84302,0.7113966,-418.88535,0.0004272461,45.040966,-0.0,67.07214,9.091232
2022-02-03 15:00:00,301.07977,302.53323,299.80994,0.7171041,-420.80075,0.0004272461,42.70835,-0.0,71.759186,8.359955
2022-02-03 16:00:00,301.0063,302.53323,299.59882,0.73223674,-419.75085,0.0004272461,43.470493,-0.0,73.87926,9.997604
2022-02-03 17:00:00,301.0179,302.53323,299.43063,0.749045,-417.71497,0.0004272461,45.245525,-0.0,65.1703,9.925507
2022-02-03 18:00:00,300.7408,302.53323,299.56412,0.7669005,-413.05307,0.0004272461,49.372963,-0.0,54.16461,8.3702545
2022-02-03 19:00:00,300.6854,302.53323,299.6397,0.788369,-411.9171,0.0004272461,51.187588,-0.0,49.46718,5.4760437
2022-02-03 20:00:00,300.53394,302.53323,299.48932,0.8001505,-409.5837,0.0004272461,52.85704,-0.0,48.49028,5.9395294
2022-02-03 21:00:00,300.3606,302.53323,299.47156,0.8017737,-407.5552,0.0004272461,54.133873,-0.0,47.066498,5.7438354
2022-02-03 22:00:00,300.4083,302.48706,299.60294,0.82832134,-403.99484,0.0004272461,56.720535,-0.0,55.193466,6.5266113
2022-02-03 23:00:00,300.31097,302.48706,299.61948,0.8661792,-404.38333,0.0004272461,55.889107,-0.0,58.23848,6.7841034
2022-02-04 00:00:00,300.63898,302.48706,299.7269,0.8780654,-400.79596,-6.6554565,58.812298,-5.937958,60.27542,7.0003967
2022-02-04 01:00:00,301.71515,302.48706,299.9587,0.8788509,-401.23608,-147.4639,63.30926,-130.9006,81.70485,9.729813
2022-02-04 02:00:00,302.69208,302.48706,300.88174,0.87638986,-403.18835,-373.398,66.991295,-340.61975,123.981705,19.627823
2022-02-04 03:00:00,303.75925,302.48706,301.6643,0.87900794,-407.0708,-607.556,69.70333,-562.55853,157.64314,34.129807
2022-02-04 04:00:00,304.80963,302.48706,301.98618,0.88398236,-414.49393,-757.75616,69.06326,-706.4445,176.86935,45.016586
2022-02-04 05:00:00,305.2459,302.48706,302.76587,0.8860245,-424.5627,-810.46967,63.477528,-757.12024,180.18457,45.655167
2022-02-04 06:00:00,305.60678,302.48706,302.91418,0.8864434,-428.73038,-839.4955,62.75168,-787.06006,197.43619,50.784424
2022-02-04 07:00:00,305.19885,302.48706,302.81503,0.89393115,-430.18106,-835.8756,64.80715,-783.52856,205.96848,47.416412
2022-02-04 08:00:00,304.49966,302.48706,302.36343,0.9103729,-432.7874,-712.88293,58.74961,-665.41016,209.2733,44.831192
2022-02-04 09:00:00,303.45184,302.48706,302.60638,0.93943393,-440.9039,-485.21402,44.437195,-449.75305,180.50674,30.473404
