first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(vin_sf),st_dev(vin_sf),skw(vin_sf),kur(vin_sf),mean(co2),st_dev(co2),skw(co2),kur(co2),mean(h2o),st_dev(h2o),skw(h2o),kur(h2o),mean(dew_point),st_dev(dew_point),skw(dew_point),kur(dew_point),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500)
2022-03-01T000000_AIU-1552.ghg,2022-03-01,00:30,60.0208,18000,0.00000,0.00000,NaN,NaN,419.998,2.01381,4.18467,33.8618,26.9831,0.590291,0.695738,3.78200,22.3674,0.358252,0.634126,3.64533,98.9100,0.474520E-01,0.109940E-01,2.24396
2022-03-01T003000_AIU-1552.ghg,2022-03-01,01:00,60.0416,18000,0.00000,0.00000,NaN,NaN,416.545,19.6048,12.5624,510.264,27.1563,3.09048,1.47225,8.06076,22.3897,1.78839,0.666730,9.48543,85.8108,19.5264,-1.16449,2.58714
2022-03-01T010000_AIU-1552.ghg,2022-03-01,01:30,60.0624,18000,0.00000,0.00000,NaN,NaN,400.013,11.5744,-0.857104E-01,1.93501,30.1692,3.51370,0.341694,1.78941,24.1170,1.92228,0.235079,1.83461,65.5263,12.9700,0.207040,1.51571
2022-03-01T013000_AIU-1552.ghg,2022-03-01,02:00,60.0833,18000,0.00000,0.00000,NaN,NaN,430.435,8.67165,1.32104,32.2463,26.1595,2.03986,-0.299400,1.96575,21.8120,1.29621,-0.399593,2.11570,95.9334,4.57640,-1.51744,3.96246
2022-03-01T020000_AIU-1552.ghg,2022-03-01,02:30,60.1041,18000,0.00000,0.00000,NaN,NaN,423.915,1.61322,2.02849,9.37906,27.7073,0.806552,0.297595,2.68216,22.7944,0.480145,0.234084,2.62828,98.8158,0.233607,-5.78999,37.9588
2022-03-01T023000_AIU-1552.ghg,2022-03-01,03:00,60.1249,18000,0.00000,0.00000,NaN,NaN,438.569,27.7473,1.53767,6.75990,25.3693,5.51795,-0.402363,2.41525,20.9652,3.85316,-0.812467,3.09717,84.8547,14.5663,-0.515998,1.69951
2022-03-01T030000_AIU-1552.ghg,2022-03-01,03:30,60.1458,18000,0.00000,0.00000,NaN,NaN,413.892,7.33087,1.52962,4.24482,29.2582,3.88675,-0.408799,1.78724,23.5534,2.28389,-0.521759,1.89260,75.7093,8.59008,0.470766,2.32441
2022-03-01T033000_AIU-1552.ghg,2022-03-01,04:00,60.1666,18000,0.00000,0.00000,NaN,NaN,426.417,3.54038,1.49821,4.59753,26.9547,1.09071,-1.12748,4.73581,22.3180,0.680204,-1.26284,5.10757,98.8316,0.715397,-3.94936,20.7720
2022-03-01T040000_AIU-1552.ghg,2022-03-01,04:30,60.1874,18000,0.00000,0.00000,NaN,NaN,425.739,4.75886,3.30097,38.5234,26.7478,1.16158,-2.44363,10.5483,22.1865,0.754077,-2.68447,11.9644,98.7110,1.15927,-5.11725,29.2917
2022-03-01T043000_AIU-1552.ghg,2022-03-01,05:00,60.2083,18000,0.00000,0.00000,NaN,NaN,432.800,24.8340,0.879226,3.18022,23.6635,4.42522,-0.911868,2.94886,19.9106,3.39106,-1.24096,3.74916,72.4284,8.23703,-1.30153,6.13147
2022-03-01T050000_AIU-1552.ghg,2022-03-01,05:30,60.2291,18000,0.00000,0.00000,NaN,NaN,415.069,74.5120,-0.101416,2.74410,29.6798,14.9085,1.09020,4.38689,22.1589,8.17192,0.963602E-01,2.36968,49.1231,15.0578,0.906783,3.06599
2022-03-01T053000_AIU-1552.ghg,2022-03-01,06:00,60.2499,18000,0.00000,0.00000,NaN,NaN,446.571,39.8210,-0.385923,11.4906,21.6649,5.05643,0.904989,4.01901,18.4208,3.61307,0.245205,3.62692,69.6451,17.1202,-1.01290,3.57319
2022-03-01T060000_AIU-1552.ghg,2022-03-01,06:30,60.2707,18000,0.00000,0.00000,NaN,NaN,451.691,45.7655,-1.10369,5.02224,21.0809,6.36684,1.79079,6.31633,17.8253,4.23632,0.969925,4.63580,66.6517,15.6151,-0.776407,3.01742
