forth_statistics:_on_raw_data_after_despiking_cross_wind_correction_and_angle-of-attack_correction
filename,date,time,DOY,n_samples,mean(vin_sf),st_dev(vin_sf),skw(vin_sf),kur(vin_sf),mean(co2),st_dev(co2),skw(co2),kur(co2),mean(h2o),st_dev(h2o),skw(h2o),kur(h2o),mean(dew_point),st_dev(dew_point),skw(dew_point),kur(dew_point),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500)
2022-03-01T000000_AIU-1552.ghg,2022-03-01,00:30,60.0208,18000,0.00000,0.00000,NaN,NaN,419.985,1.96108,4.16359,34.9878,26.9816,0.586509,0.661290,3.65117,22.3666,0.356328,0.603462,3.52947,98.9100,0.474520E-01,0.109940E-01,2.24396
2022-03-01T003000_AIU-1552.ghg,2022-03-01,01:00,60.0416,18000,0.00000,0.00000,NaN,NaN,416.293,15.8513,1.42071,98.4018,27.1619,3.06806,1.59933,7.56316,22.3942,1.76155,1.00062,6.82157,85.8120,19.5235,-1.16420,2.58598
2022-03-01T010000_AIU-1552.ghg,2022-03-01,01:30,60.0624,18000,0.00000,0.00000,NaN,NaN,400.017,11.5484,-0.583589E-01,1.72796,30.1696,3.51386,0.341415,1.78902,24.1176,1.92235,0.234622,1.83401,65.5263,12.9700,0.207040,1.51571
2022-03-01T013000_AIU-1552.ghg,2022-03-01,02:00,60.0833,18000,0.00000,0.00000,NaN,NaN,430.406,8.44627,0.150304,1.84144,26.1595,2.03986,-0.299400,1.96575,21.8122,1.29519,-0.391630,2.06789,95.9340,4.57476,-1.51549,3.94860
2022-03-01T020000_AIU-1552.ghg,2022-03-01,02:30,60.1041,18000,0.00000,0.00000,NaN,NaN,423.907,1.58313,1.94184,8.98509,27.7071,0.806004,0.293890,2.67188,22.7943,0.480003,0.232413,2.62359,98.8158,0.233607,-5.79004,37.9592
2022-03-01T023000_AIU-1552.ghg,2022-03-01,03:00,60.1249,18000,0.00000,0.00000,NaN,NaN,438.516,27.4932,1.41194,5.06293,25.3708,5.51567,-0.399040,2.39962,20.9673,3.84569,-0.794589,2.97310,84.8566,14.5630,-0.515525,1.69839
2022-03-01T030000_AIU-1552.ghg,2022-03-01,03:30,60.1458,18000,0.00000,0.00000,NaN,NaN,413.886,7.32834,1.53263,4.25430,29.2581,3.88658,-0.408978,1.78706,23.5534,2.28380,-0.522004,1.89265,75.7093,8.59008,0.470766,2.32441
2022-03-01T033000_AIU-1552.ghg,2022-03-01,04:00,60.1666,18000,0.00000,0.00000,NaN,NaN,426.415,3.53850,1.50140,4.60994,26.9545,1.09044,-1.12931,4.73612,22.3180,0.680122,-1.26383,5.10799,98.8316,0.715397,-3.94936,20.7720
2022-03-01T040000_AIU-1552.ghg,2022-03-01,04:30,60.1874,18000,0.00000,0.00000,NaN,NaN,425.717,4.56046,2.01821,8.21699,26.7478,1.16135,-2.44561,10.5551,22.1869,0.750944,-2.64081,11.4371,98.7113,1.15669,-5.09381,28.8608
2022-03-01T043000_AIU-1552.ghg,2022-03-01,05:00,60.2083,18000,0.00000,0.00000,NaN,NaN,432.770,24.7145,0.871499,2.98709,23.6656,4.42389,-0.913028,2.95248,19.9150,3.38271,-1.23176,3.68847,72.4287,8.23710,-1.30160,6.13146
2022-03-01T050000_AIU-1552.ghg,2022-03-01,05:30,60.2291,18000,0.00000,0.00000,NaN,NaN,415.029,74.1788,-0.147610,2.25680,29.6805,14.9085,1.09010,4.38665,22.1626,8.15880,0.117911,2.22764,49.1231,15.0578,0.906783,3.06599
2022-03-01T053000_AIU-1552.ghg,2022-03-01,06:00,60.2499,18000,0.00000,0.00000,NaN,NaN,446.465,39.1875,-0.863428,4.74344,21.6647,5.05440,0.903105,4.01186,18.4274,3.59320,0.332039,3.01784,69.6451,17.1202,-1.01290,3.57319
2022-03-01T060000_AIU-1552.ghg,2022-03-01,06:30,60.2707,18000,0.00000,0.00000,NaN,NaN,451.667,45.6127,-1.16554,4.56009,21.0844,6.36342,1.79506,6.31843,17.8277,4.23290,0.975601,4.63200,66.6520,15.6152,-0.776449,3.01742
